PRODUCER,MONTH,GENERATION,State
"Combined Heat and Power, Commercial Power",78,192256.0,District of Columbia
"Electric Generators, Independent Power Producers",78,25982.0,District of Columbia
"Combined Heat and Power, Commercial Power",78,5393.0,Delaware
"Combined Heat and Power, Electric Power",78,120682.0,Delaware
"Combined Heat and Power, Industrial Power",78,911931.0,Delaware
"Electric Generators, Electric Utilities",78,27602.0,Delaware
"Electric Generators, Independent Power Producers",78,2974363.0,Delaware
"Combined Heat and Power, Commercial Power",78,94938.0,Florida
"Combined Heat and Power, Electric Power",78,1687471.0,Florida
"Combined Heat and Power, Industrial Power",78,4627609.0,Florida
"Electric Generators, Electric Utilities",78,227993630.0,Florida
"Electric Generators, Independent Power Producers",78,9997385.0,Florida
"Combined Heat and Power, Commercial Power",78,4711.0,Georgia
"Combined Heat and Power, Electric Power",78,527596.0,Georgia
"Combined Heat and Power, Industrial Power",78,5095129.0,Georgia
"Electric Generators, Electric Utilities",78,102646392.0,Georgia
"Electric Generators, Independent Power Producers",78,18256917.0,Georgia
"Combined Heat and Power, Commercial Power",78,364607.0,Hawaii
"Combined Heat and Power, Electric Power",78,2294287.0,Hawaii
"Combined Heat and Power, Industrial Power",78,221674.0,Hawaii
"Electric Generators, Electric Utilities",78,4721460.0,Hawaii
"Electric Generators, Independent Power Producers",78,1586065.0,Hawaii
"Combined Heat and Power, Commercial Power",78,142153.0,Iowa
"Combined Heat and Power, Electric Power",78,4065.0,Iowa
"Combined Heat and Power, Industrial Power",78,2065820.0,Iowa
"Electric Generators, Electric Utilities",78,54854479.0,Iowa
"Electric Generators, Independent Power Producers",78,9053749.0,Iowa
"Combined Heat and Power, Commercial Power",78,68356.0,Idaho
"Combined Heat and Power, Electric Power",78,67389.0,Idaho
"Combined Heat and Power, Industrial Power",78,549112.0,Idaho
"Electric Generators, Electric Utilities",78,10963688.0,Idaho
"Electric Generators, Independent Power Producers",78,5300045.0,Idaho
"Combined Heat and Power, Commercial Power",78,479423.0,Illinois
"Combined Heat and Power, Electric Power",78,678169.0,Illinois
"Combined Heat and Power, Industrial Power",78,2604843.0,Illinois
"Electric Generators, Electric Utilities",78,4449699.0,Illinois
"Electric Generators, Independent Power Producers",78,173647234.0,Illinois
"Combined Heat and Power, Commercial Power",78,252338.0,Indiana
"Combined Heat and Power, Electric Power",78,7702676.0,Indiana
"Combined Heat and Power, Industrial Power",78,4635236.0,Indiana
"Electric Generators, Electric Utilities",78,60991576.0,Indiana
"Electric Generators, Independent Power Producers",78,20983341.0,Indiana
"Combined Heat and Power, Commercial Power",78,14183.0,Kansas
"Combined Heat and Power, Industrial Power",78,227115.0,Kansas
"Electric Generators, Electric Utilities",78,33280052.0,Kansas
"Electric Generators, Independent Power Producers",78,23224603.0,Kansas
"Combined Heat and Power, Industrial Power",78,488379.0,Kentucky
"Electric Generators, Electric Utilities",78,69475329.0,Kentucky
"Electric Generators, Independent Power Producers",78,590555.0,Kentucky
"Combined Heat and Power, Commercial Power",78,178332.0,Louisiana
"Combined Heat and Power, Electric Power",78,2744341.0,Louisiana
"Combined Heat and Power, Industrial Power",78,27210836.0,Louisiana
"Electric Generators, Electric Utilities",78,63497633.0,Louisiana
"Electric Generators, Independent Power Producers",78,4430822.0,Louisiana
"Combined Heat and Power, Commercial Power",78,615109.0,Massachusetts
"Combined Heat and Power, Electric Power",78,1545819.0,Massachusetts
"Combined Heat and Power, Industrial Power",78,205260.0,Massachusetts
"Electric Generators, Electric Utilities",78,475936.0,Massachusetts
"Electric Generators, Independent Power Producers",78,16524875.0,Massachusetts
"Combined Heat and Power, Commercial Power",78,903741.0,Maryland
"Combined Heat and Power, Electric Power",78,2354505.0,Maryland
"Combined Heat and Power, Industrial Power",78,48121.0,Maryland
"Electric Generators, Electric Utilities",78,3471174.0,Maryland
"Electric Generators, Independent Power Producers",78,32941750.0,Maryland
"Combined Heat and Power, Commercial Power",78,97588.0,Maine
"Combined Heat and Power, Electric Power",78,383725.0,Maine
"Combined Heat and Power, Industrial Power",78,1791822.0,Maine
"Electric Generators, Electric Utilities",78,2757.0,Maine
"Electric Generators, Independent Power Producers",78,8676883.0,Maine
"Combined Heat and Power, Commercial Power",78,666788.0,Michigan
"Combined Heat and Power, Electric Power",78,11961234.0,Michigan
"Combined Heat and Power, Industrial Power",78,1309135.0,Michigan
"Electric Generators, Electric Utilities",78,82022523.0,Michigan
"Electric Generators, Independent Power Producers",78,20085706.0,Michigan
"Combined Heat and Power, Commercial Power",78,294467.0,Minnesota
"Combined Heat and Power, Electric Power",78,1060443.0,Minnesota
"Combined Heat and Power, Industrial Power",78,1009953.0,Minnesota
"Electric Generators, Electric Utilities",78,42688351.0,Minnesota
"Electric Generators, Independent Power Producers",78,14574805.0,Minnesota
"Combined Heat and Power, Commercial Power",78,194533.0,Missouri
"Combined Heat and Power, Electric Power",78,35308.0,Missouri
"Combined Heat and Power, Industrial Power",78,43681.0,Missouri
"Electric Generators, Electric Utilities",78,70672592.0,Missouri
"Electric Generators, Independent Power Producers",78,6869866.0,Missouri
"Combined Heat and Power, Commercial Power",78,0.0,Mississippi
"Combined Heat and Power, Industrial Power",78,1973656.0,Mississippi
"Electric Generators, Electric Utilities",78,63535757.0,Mississippi
"Electric Generators, Independent Power Producers",78,3203912.0,Mississippi
"Combined Heat and Power, Electric Power",78,454274.0,Montana
"Combined Heat and Power, Industrial Power",78,35041.0,Montana
"Electric Generators, Electric Utilities",78,10341964.0,Montana
"Electric Generators, Independent Power Producers",78,13635359.0,Montana
"Combined Heat and Power, Commercial Power",78,272099.0,North Carolina
"Combined Heat and Power, Electric Power",78,214176.0,North Carolina
"Combined Heat and Power, Industrial Power",78,1785586.0,North Carolina
"Electric Generators, Electric Utilities",78,110756159.0,North Carolina
"Electric Generators, Independent Power Producers",78,18234662.0,North Carolina
"Combined Heat and Power, Commercial Power",78,1062.0,North Dakota
"Combined Heat and Power, Industrial Power",78,151658.0,North Dakota
"Electric Generators, Electric Utilities",78,33414347.0,North Dakota
"Electric Generators, Independent Power Producers",78,9138170.0,North Dakota
"Combined Heat and Power, Commercial Power",78,17924.0,Nebraska
"Combined Heat and Power, Industrial Power",78,344119.0,Nebraska
"Electric Generators, Electric Utilities",78,28818114.0,Nebraska
"Electric Generators, Independent Power Producers",78,9464488.0,Nebraska
"Combined Heat and Power, Commercial Power",78,64791.0,New Hampshire
"Combined Heat and Power, Industrial Power",78,29005.0,New Hampshire
"Electric Generators, Electric Utilities",78,660628.0,New Hampshire
"Electric Generators, Independent Power Producers",78,16680566.0,New Hampshire
"Combined Heat and Power, Commercial Power",78,643265.0,New Jersey
"Combined Heat and Power, Electric Power",78,6911564.0,New Jersey
"Combined Heat and Power, Industrial Power",78,471205.0,New Jersey
"Electric Generators, Electric Utilities",78,62574.0,New Jersey
"Electric Generators, Independent Power Producers",78,53297915.0,New Jersey
"Combined Heat and Power, Commercial Power",78,121998.0,New Mexico
"Combined Heat and Power, Electric Power",78,20252.0,New Mexico
"Combined Heat and Power, Industrial Power",78,47907.0,New Mexico
"Electric Generators, Electric Utilities",78,21893409.0,New Mexico
"Electric Generators, Independent Power Producers",78,13187732.0,New Mexico
"Combined Heat and Power, Commercial Power",78,627385.0,Nevada
"Combined Heat and Power, Electric Power",78,2183913.0,Nevada
"Combined Heat and Power, Industrial Power",78,337614.0,Nevada
"Electric Generators, Electric Utilities",78,27261574.0,Nevada
"Electric Generators, Independent Power Producers",78,11469702.0,Nevada
"Combined Heat and Power, Commercial Power",78,1283599.0,New York
"Combined Heat and Power, Electric Power",78,11479531.0,New York
"Combined Heat and Power, Industrial Power",78,823690.0,New York
"Electric Generators, Electric Utilities",78,37266097.0,New York
"Electric Generators, Independent Power Producers",78,74373104.0,New York
"Combined Heat and Power, Commercial Power",78,253877.0,Ohio
"Combined Heat and Power, Electric Power",78,1593691.0,Ohio
"Combined Heat and Power, Industrial Power",78,746446.0,Ohio
"Electric Generators, Electric Utilities",78,12554826.0,Ohio
"Electric Generators, Independent Power Producers",78,108186770.0,Ohio
"Combined Heat and Power, Commercial Power",78,0.0,Oklahoma
"Combined Heat and Power, Industrial Power",78,839102.0,Oklahoma
"Electric Generators, Electric Utilities",78,36250896.0,Oklahoma
"Electric Generators, Independent Power Producers",78,43474125.0,Oklahoma
"Combined Heat and Power, Commercial Power",78,81271.0,Oregon
"Combined Heat and Power, Electric Power",78,5909188.0,Oregon
"Combined Heat and Power, Industrial Power",78,631596.0,Oregon
"Electric Generators, Electric Utilities",78,39845286.0,Oregon
"Electric Generators, Independent Power Producers",78,14614496.0,Oregon
"Combined Heat and Power, Commercial Power",78,384085.0,Pennsylvania
"Combined Heat and Power, Electric Power",78,7924378.0,Pennsylvania
"Combined Heat and Power, Industrial Power",78,2728318.0,Pennsylvania
"Electric Generators, Electric Utilities",78,108593.0,Pennsylvania
"Electric Generators, Independent Power Producers",78,230502987.0,Pennsylvania
"Combined Heat and Power, Commercial Power",78,57447.0,Rhode Island
"Combined Heat and Power, Industrial Power",78,137274.0,Rhode Island
"Electric Generators, Electric Utilities",78,2.0,Rhode Island
"Electric Generators, Independent Power Producers",78,7840292.0,Rhode Island
"Combined Heat and Power, Commercial Power",78,2208.0,South Carolina
"Combined Heat and Power, Electric Power",78,681914.0,South Carolina
"Combined Heat and Power, Industrial Power",78,1804883.0,South Carolina
"Electric Generators, Electric Utilities",78,94331674.0,South Carolina
"Electric Generators, Independent Power Producers",78,3103724.0,South Carolina
"Combined Heat and Power, Commercial Power",78,12.0,South Dakota
"Combined Heat and Power, Industrial Power",78,28443.0,South Dakota
"Electric Generators, Electric Utilities",78,9905268.0,South Dakota
"Electric Generators, Independent Power Producers",78,7900910.0,South Dakota
"Combined Heat and Power, Commercial Power",78,205812.0,Tennessee
"Combined Heat and Power, Industrial Power",78,2204479.0,Tennessee
"Electric Generators, Electric Utilities",78,78603226.0,Tennessee
"Electric Generators, Independent Power Producers",78,465366.0,Tennessee
"Combined Heat and Power, Commercial Power",78,612266.0,Texas
"Combined Heat and Power, Electric Power",78,41947893.0,Texas
"Combined Heat and Power, Industrial Power",78,41286435.0,Texas
"Electric Generators, Electric Utilities",78,82082918.0,Texas
"Electric Generators, Independent Power Producers",78,317632263.0,Texas
"Combined Heat and Power, Commercial Power",78,126451.0,Utah
"Combined Heat and Power, Electric Power",78,53816.0,Utah
"Combined Heat and Power, Industrial Power",78,416951.0,Utah
"Electric Generators, Electric Utilities",78,37112552.0,Utah
"Electric Generators, Independent Power Producers",78,4947012.0,Utah
"Combined Heat and Power, Commercial Power",78,331937.0,Virginia
"Combined Heat and Power, Electric Power",78,1012106.0,Virginia
"Combined Heat and Power, Industrial Power",78,2333896.0,Virginia
"Electric Generators, Electric Utilities",78,73103689.0,Virginia
"Electric Generators, Independent Power Producers",78,17527389.0,Virginia
"Combined Heat and Power, Commercial Power",78,3141.0,Vermont
"Electric Generators, Electric Utilities",78,915002.0,Vermont
"Electric Generators, Independent Power Producers",78,1229589.0,Vermont
"Combined Heat and Power, Commercial Power",78,28075.0,Washington
"Combined Heat and Power, Industrial Power",78,2101579.0,Washington
"Electric Generators, Electric Utilities",78,94110726.0,Washington
"Electric Generators, Independent Power Producers",78,12882338.0,Washington
"Combined Heat and Power, Commercial Power",78,139559.0,Wisconsin
"Combined Heat and Power, Electric Power",78,943291.0,Wisconsin
"Combined Heat and Power, Industrial Power",78,1451526.0,Wisconsin
"Electric Generators, Electric Utilities",78,51160713.0,Wisconsin
"Electric Generators, Independent Power Producers",78,11783588.0,Wisconsin
"Combined Heat and Power, Industrial Power",78,1286665.0,West Virginia
"Electric Generators, Electric Utilities",78,47093799.0,West Virginia
"Electric Generators, Independent Power Producers",78,17250096.0,West Virginia
"Combined Heat and Power, Industrial Power",78,2234720.0,Wyoming
"Electric Generators, Electric Utilities",78,37365468.0,Wyoming
"Electric Generators, Independent Power Producers",78,4050482.0,Wyoming
